"Date","Price","Open","High","Low","Vol.","Change %"
"05/08/2023","1,696.06","1,697.21","1,697.21","1,694.46","","0.08%"
"05/05/2023","1,694.65","1,695.22","1,696.80","1,692.73","","0.12%"
"05/04/2023","1,692.67","1,691.45","1,696.24","1,691.29","","0.22%"
"05/03/2023","1,688.96","1,687.37","1,693.08","1,687.02","","0.21%"
"05/02/2023","1,685.42","1,687.59","1,688.84","1,685.42","","-0.15%"
"05/01/2023","1,687.96","1,689.06","1,689.44","1,686.94","","0.04%"
"04/28/2023","1,687.35","1,688.47","1,689.45","1,686.05","","0.00%"
"04/27/2023","1,687.32","1,686.13","1,688.16","1,684.18","","0.08%"
"04/26/2023","1,685.96","1,683.55","1,686.52","1,683.12","","0.00%"
"04/25/2023","1,685.89","1,689.25","1,690.78","1,681.73","","-0.15%"
"04/24/2023","1,688.49","1,689.40","1,689.99","1,686.91","","-0.06%"
"04/21/2023","1,689.48","1,691.87","1,691.98","1,687.72","","-0.12%"
"04/20/2023","1,691.55","1,687.82","1,692.84","1,686.75","","0.16%"
"04/19/2023","1,688.93","1,693.79","1,694.33","1,686.34","","-0.27%"
"04/18/2023","1,693.55","1,692.40","1,695.16","1,691.97","","-0.07%"
"04/17/2023","1,694.67","1,697.98","1,698.11","1,690.96","","-0.28%"
"04/14/2023","1,699.51","1,698.94","1,704.18","1,695.67","","0.16%"
"04/13/2023","1,696.81","1,691.91","1,699.45","1,691.25","","0.38%"
"04/12/2023","1,690.42","1,689.26","1,692.77","1,687.16","","0.10%"
"04/11/2023","1,688.70","1,686.97","1,689.05","1,686.35","","0.04%"
"04/10/2023","1,687.99","1,691.24","1,691.28","1,685.63","","-0.04%"
"04/07/2023","1,688.70","1,688.43","1,691.02","1,688.27","","0.01%"
"04/06/2023","1,688.46","1,688.66","1,689.55","1,686.54","","-0.12%"
"04/05/2023","1,690.41","1,690.13","1,691.97","1,687.61","","0.09%"
"04/04/2023","1,688.85","1,689.99","1,690.79","1,687.34","","0.04%"
"04/03/2023","1,688.17","1,690.31","1,690.43","1,683.87","","-0.21%"
"03/31/2023","1,691.69","1,691.21","1,695.73","1,688.69","","0.15%"
"03/30/2023","1,689.15","1,685.35","1,691.23","1,683.59","","0.15%"
"03/29/2023","1,686.60","1,688.16","1,688.66","1,684.03","","0.00%"
